Date,Time,Racetrack,Horse,QS,Odds,Percentage,W/L/NR,Bet Type,Bookie,Bet Placed or Rejected
2025-01-01,14:20,Musselburgh,Indian Louis,39,15,100,0,trixie,williamhill,Placed,JFKHMJRR
2025-01-02,14:00,Huntingdon,Silver Thorn,93,7,103,NR,single,888sport,Placed,CGFLXVYH
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,double,williamhill,Placed,NXIUZMRN
2025-01-01,12:28,Southwell,Big Bee Hive,383,5.5,102,0,trixie,bet600,Placed,JWKGBDHO
2025-01-02,12:55,Huntingdon,Shuil Ceoil,38,4.5,100,0,double,geoffbanks,Placed,JKPAEDVI
2025-01-02,16:40,Newcastle,Impeach,89,12,96,0,lucky15,williamhill,Placed,ZRILLEIZ
2025-01-01,14:35,Fakenham,An Bradan Feasa,45,11,96,0,lucky15,betgoodwin,Placed,CRIBIWUE
2025-01-01,14:14,Southwell,Rialannah,163,17,100,0,patent,888sport,Placed,RXLMIMLX
2025-01-01,14:14,Southwell,Masked Dance,50,13,96,NR,lucky15,williamhill,Placed,TLBZYGGO
2025-01-01,13:30,Cheltenham,Bowtogreatness,36,9,100,0,patent,888sport,Placed,VIRNKYPM
2025-01-01,16:40,Newcastle,Profit Street,73,6.5,98,0,lucky15,boylesports,Placed,WYCFZNYS
2025-01-02,13:25,Huntingdon,Abingworth,123,6.5,98,NR,lucky15,geoffbanks,Placed,YNWTJGTN
2025-01-02,14:27,Newcastle,Rubellite,76,4.5,100,1,single,geoffbanks,Placed,IBDUJIBB
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,betfred,Placed,NRCBKMIY
2025-01-01,14:14,Southwell,Masked Dance,50,13,96,NR,lucky15,betfred,Placed,NRCBKMIY
2025-01-02,17:10,Newcastle,Rodborough,932,26,113,0,single,betfred,Placed,MQFAFJBK
2025-01-02,17:10,Newcastle,Rodborough,932,26,113,0,single,betfred,Placed,BNUCLGEB
2025-01-02,17:40,Newcastle,Cherry King,52,2.62,106,0,single,geoffbanks,Placed,ONGXMSIA
2025-01-01,14:14,Southwell,Masked Dance,50,13,96,NR,lucky15,betfred,Placed,NZMJLGUM
2025-01-01,14:49,Southwell,Alnilam,40,6.5,98,1,lucky15,williamhill,Placed,UHQSXBOH
2025-01-01,14:14,Southwell,Mermaids Cave,73,9.5,97,NR,lucky15,betfred,Placed,DHMUGYGZ
2025-01-01,14:14,Southwell,Mermaids Cave,147,9,102,NR,trixie,888sport,Placed,ABHZDYQH
2025-01-01,13:35,Exeter,Keable,38,3.5,100,1,trixie,geoffbanks,Placed,PPRIFHAH
2025-01-01,13:39,Southwell,Socialiser,186,19,97,0,lucky15,williamhill,Placed,LNTXQVIN
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,boylesports,Placed,WYCFZNYS
2025-01-01,14:30,Catterick,Ensel Du Perche,38,9.5,95,1,lucky15,williamhill,Placed,TLBZYGGO
2025-01-02,18:10,Newcastle,Martins Brig,47,7,95,0,lucky15,geoffbanks,Placed,HVHMSEGQ
2025-01-01,14:40,Cheltenham,Idefix De Ciergues,389,12,104,0,trixie,betfred,Placed,PWEHCWKZ
2025-01-02,14:50,Ayr,Step Above,140,10,95,0,lucky15,williamhill,Placed,ZRILLEIZ
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,lucky15,bet600,Placed,TGMACNEU
2025-01-01,15:10,Fakenham,For Gina,50,8.5,109,0,single,bet600,Placed,EPQJVHVL
2025-01-01,14:14,Southwell,Mermaids Cave,73,8.5,97,NR,lucky15,betgoodwin,Placed,CRIBIWUE
2025-01-01,14:14,Southwell,Masked Dance,63,13,96,NR,lucky15,888sport,Placed,YWQWQYNE
2025-01-02,16:05,Newcastle,Great Dream,225,5,100,0,double,geoffbanks,Placed,JTVCEAVO
2025-01-02,17:10,Newcastle,Rodborough,387,21,108,0,lucky15,geoffbanks,Placed,YNWTJGTN
2025-01-02,16:40,Newcastle,Finn Ironside,305,11,96,0,double,geoffbanks,Placed,ZRHPNLUE
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,fafabet,Placed,JSFYVUFS
2025-01-01,12:00,Tramore,Titanium,59,11,100,0,trixie,betfred,Placed,PWEHCWKZ
2025-01-01,16:10,Newcastle,Storm Star,227,8,100,1,trixie,888sport,Placed,SHTPYLPO
2025-01-01,16:40,Newcastle,Profit Street,45,8,112,0,trixie,888sport,Placed,SHTPYLPO
2025-01-01,15:34,Newcastle,The Caltonian,152,19,95,1,lucky15,williamhill,Placed,HTQBBEXO
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,888sport,Placed,DIMDPCMM
2025-01-01,11:45,Fakenham,Crac De Megaudais,69,7,104,1,lucky15,betfred,Placed,NZMJLGUM
2025-01-01,12:55,Cheltenham,Newton Tornado,128,11,96,0,lucky15,williamhill,Placed,UHQSXBOH
2025-01-02,17:40,Newcastle,Calcutta Dream,53,9,98,0,lucky15,williamhill,Placed,HQIOPKFM
2025-01-02,15:10,Huntingdon,Our Pink Lady,57,10,95,0,lucky15,geoffbanks,Placed,NWEJHDVT
2025-01-02,15:25,Ayr,Adveram,47,5,97,0,lucky15,williamhill,Placed,QAMPPRVJ
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,fafabet,Placed,ZZQAOVRU
2025-01-01,15:55,Exeter,Soul Limbo,39,13,100,NR,lucky15,geoffbanks,Placed,OKZRNRTV
2025-01-02,14:50,Ayr,Step Above,48,10,95,0,lucky15,geoffbanks,Placed,DBIPYWPE
2025-01-01,14:14,Southwell,Masked Dance,69,12,96,NR,lucky15,gentlemanjim,Placed,YSOPGPHM
2025-01-01,13:04,Southwell,Stormin Crossgales,32,5.5,96,1,lucky15,williamhill,Placed,DVIKSDQM
2025-01-01,15:05,Catterick,Just Jess,61,11,100,0,trixie,betfred,Placed,SMNDCJUG
2025-01-01,14:50,Tramore,Vaureal,81,9,98,0,lucky15,williamhill,Placed,DVIKSDQM
2025-01-01,11:54,Southwell,Doc Mccoy,66,11,96,0,lucky15,williamhill,Placed,LNTXQVIN
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,gentlemanjim,Placed,QMLIMFSC
2025-01-01,14:30,Catterick,Ensel Du Perche,38,9.5,95,1,lucky15,betfred,Placed,NRCBKMIY
2025-01-01,14:10,Exeter,Looking For Larry,45,14,100,1,trixie,geoffbanks,Placed,ETWINQPO
2025-01-01,14:14,Southwell,Masked Dance,50,12,96,NR,lucky15,bet600,Placed,MMMXAGLL
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,double,williamhill,Placed,HDMEPPVY
2025-01-01,15:20,Exeter,Havaila,169,8,95,0,lucky15,williamhill,Placed,XVKWWYWM
2025-01-01,12:28,Southwell,Big Bee Hive,535,6,97,0,patent,williamhill,Placed,RBFXMEOD
2025-01-01,16:40,Newcastle,Profit Street,32,5.5,98,0,lucky15,bet600,Placed,JJRAACSV
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,gentlemanjim,Placed,QMLIMFSC
2025-01-01,15:15,Cheltenham,Gowel Road,1000,9.5,100,0,single,sportingbet,Placed,WWGBEABC
2025-01-01,14:40,Cheltenham,Catch Him Derry,71,6.5,98,0,lucky15,bet600,Placed,MMMXAGLL
2025-01-01,16:40,Newcastle,Profit Street,32,5.5,98,0,lucky15,bet600,Placed,RVOFZJTU
2025-01-01,14:40,Cheltenham,An Tailliur,95,29,104,0,lucky15,boylesports,Placed,TIBYZPNN
2025-01-01,13:04,Southwell,Russian Ruler,70,13,100,0,patent,williamhill,Placed,RBFXMEOD
2025-01-02,15:10,Huntingdon,Call Blue,56,8,98,0,lucky15,williamhill,Placed,QAMPPRVJ
2025-01-01,11:45,Fakenham,Star Legend,115,4,103,0,trixie,betfred,Placed,PIJKTLKE
2025-01-01,14:20,Musselburgh,Indian Louis,39,15,100,0,trixie,williamhill,Placed,URVMSJXB
2025-01-01,14:14,Southwell,Masked Dance,50,13,96,NR,lucky15,bwin,Placed,DVTRSYAG
2025-01-01,15:20,Exeter,Flash Gorcombe,127,5.5,102,1,lucky15,888sport,Placed,YWQWQYNE
2025-01-01,12:50,Fakenham,Tarbat Ness,132,9.5,99,0,lucky15,betgoodwin,Placed,CUMHOYFV
2025-01-02,14:35,Huntingdon,Kaituna River,201,3,103,0,double,geoffbanks,Placed,ZRHPNLUE
2025-01-02,15:25,Ayr,Adveram,47,5,97,0,lucky15,williamhill,Placed,CZXKBPNS
2025-01-01,14:40,Cheltenham,Idefix De Ciergues,78,12,100,0,patent,williamhill,Placed,RBFXMEOD
2025-01-01,15:39,Catterick,Restandbethankful,44,4.5,100,0,double,888sport,Placed,EOUCIJGH
2025-01-02,15:10,Huntingdon,Call Blue,176,8.5,99,0,lucky15,geoffbanks,Placed,DBIPYWPE
2025-01-01,14:05,Cheltenham,Gemirande,1239,5.5,98,0,trixie,bet600,Placed,YRFNAZWE
2025-01-01,13:45,Musselburgh,Bold Light,52,5.5,102,1,single,boylesports,Placed,COQLEQWX
2025-01-01,14:24,Newcastle,Percy Willis,0,13,93,0,lucky15,williamhill,Placed,CXLAAFEF
2025-01-02,12:55,Huntingdon,Shuil Ceoil,38,4.5,100,0,double,geoffbanks,Placed,JTVCEAVO
2025-01-02,18:10,Newcastle,Coramento,52,12,96,0,lucky15,williamhill,Placed,HQIOPKFM
2025-01-02,15:10,Huntingdon,Call Blue,73,8.5,104,0,double,888sport,Placed,VQAXDMCL
2025-01-01,14:14,Southwell,Rialannah,133,17,100,0,single,gentlemanjim,Placed,QFCBEMHV
2025-01-01,14:05,Cheltenham,Marble Sands,38,17,94,0,lucky15,williamhill,Placed,LNTXQVIN
2025-01-02,17:10,Newcastle,Gustav Graves,757,13,100,0,single,888sport,Placed,ADJSUWXG
2025-01-02,14:15,Ayr,Special Rate,166,5.5,98,0,lucky15,williamhill,Placed,ZRILLEIZ
2025-01-02,14:35,Huntingdon,Laskalin,49,6.5,102,0,single,geoffbanks,Placed,GRYSJPLU
2025-01-01,16:40,Newcastle,Dicko The Legend,47,10,100,0,single,sportingbet,Placed,GIZKLPLC
2025-01-01,14:55,Musselburgh,Rickety Gate,105,12,100,0,trixie,888sport,Placed,SHTZZVJD
2025-01-01,15:20,Exeter,Havaila,54,6.5,102,0,trixie,betfred,Placed,ISMCQKDO
2025-01-01,15:10,Fakenham,For Gina,29,8,103,0,single,virginbet,Placed,MLWSBUGE
2025-01-01,16:40,Newcastle,Profit Street,39,7.5,99,0,lucky15,betgoodwin,Placed,CUMHOYFV
2025-01-01,14:35,Fakenham,Pearly Island,38,13,96,1,lucky15,williamhill,Placed,XVKWWYWM
2025-01-01,14:35,Fakenham,Pearly Island,38,13,96,1,lucky15,williamhill,Placed,NRSYKMVX
2025-01-01,15:55,Exeter,Soul Limbo,39,13,100,NR,lucky15,geoffbanks,Placed,XXAHFFXN
2025-01-02,15:40,Huntingdon,Draco Malfoy,292,11,100,0,single,geoffbanks,Placed,GKBLMBOK
2025-01-01,13:10,Musselburgh,Winds Of Winter,40,4.33,100,0,patent,betfred,Placed,FNWUFBFU
2025-01-02,14:35,Huntingdon,Laskalin,49,6.5,102,0,single,geoffbanks,Placed,SRBRTADM
2025-01-01,12:50,Fakenham,Tarbat Ness,180,11,115,0,lucky15,888sport,Placed,BRQFAECP
2025-01-01,14:14,Southwell,Molto Bene,149,6,97,0,lucky15,williamhill,Placed,FXGNOZPI
2025-01-02,14:35,Huntingdon,Laskalin,75,7,103,0,double,888sport,Placed,VQAXDMCL
2025-01-01,15:10,Fakenham,Morfee,58,11,100,0,patent,888sport,Placed,FEYKZJMT
2025-01-01,15:10,Fakenham,For Gina,29,8,103,0,single,livescorebet,Placed,TJYBXMOR
2025-01-01,14:15,Tramore,Montys Star,228,2.1,102,0,single,boylesports,Placed,YKVBPUEH
2025-01-02,16:40,Newcastle,Impeach,108,17,100,0,single,sportingbet,Placed,LPWADLRM
2025-01-01,14:14,Southwell,Rialannah,163,17,100,0,patent,888sport,Placed,KHHCFVVE
2025-01-01,16:40,Newcastle,Profit Street,73,6.5,98,0,lucky15,boylesports,Placed,TIBYZPNN
2025-01-01,14:05,Cheltenham,Gemirande,1239,5.5,98,0,trixie,bet600,Placed,JWKGBDHO
2025-01-01,14:14,Southwell,Masked Dance,69,12,96,NR,lucky15,fafabet,Placed,JSFYVUFS
2025-01-01,15:10,Fakenham,For Gina,29,8,103,0,single,virginbet,Placed,MBOLJGOH
2025-01-01,14:14,Southwell,Masked Dance,50,13,96,NR,lucky15,bwin,Placed,EJKKLFDG
2025-01-01,14:30,Catterick,Ensel Du Perche,268,10.5,114,1,trixie,geoffbanks,Placed,ETWINQPO
2025-01-01,14:40,Cheltenham,Catch Him Derry,62,6.5,96,0,lucky15,bwin,Placed,DVTRSYAG
2025-01-01,14:20,Musselburgh,Corrigeen Rock,496,4.5,98,0,double,williamhill,Placed,LGFUNRHS
2025-01-01,14:15,Tramore,Embassy Gardens,58,10,95,1,lucky15,888sport,Placed,YWQWQYNE
2025-01-01,14:05,Cheltenham,Lisnamult Lad,64,17,100,0,single,sportingbet,Placed,LZGTHDOZ
2025-01-01,14:40,Cheltenham,One Big Bang,134,4,103,0,patent,888sport,Placed,RXLMIMLX
2025-01-01,13:04,Southwell,Stormin Crossgales,32,5.5,96,1,lucky15,williamhill,Placed,WQAGTLEQ
2025-01-01,12:15,Fakenham,Gazette Bourgeoise,56,3.75,101,1,trixie,888sport,Placed,SHTZZVJD
2025-01-02,14:35,Huntingdon,Kaituna River,201,3,103,0,double,geoffbanks,Placed,PVBFJXLS
2025-01-01,13:30,Cheltenham,Bowtogreatness,356,9,100,0,single,williamhill,Placed,WNTUUBUP
2025-01-01,14:14,Southwell,Masked Dance,69,12,96,NR,lucky15,fafabet,Placed,ZZQAOVRU
2025-01-01,15:15,Cheltenham,Gowel Road,2126,10,100,0,trixie,williamhill,Placed,URVMSJXB
2025-01-01,14:50,Tramore,Vaureal,81,9,98,0,lucky15,williamhill,Placed,WQAGTLEQ
2025-01-02,14:50,Ayr,Fonzerelli,40,17,94,NR,lucky15,williamhill,Placed,TUSBTRGK
2025-01-01,15:15,Cheltenham,Gowel Road,2126,10,100,0,trixie,bet600,Placed,JWKGBDHO
2025-01-01,15:10,Fakenham,For Gina,251,8,112,0,lucky15,boylesports,Placed,WYCFZNYS
2025-01-01,12:30,Tramore,Rockbrook,74,5,115,1,double,williamhill,Placed,UADJQMOG
2025-01-01,13:55,Catterick,How About No,46,4.5,108,1,trixie,williamhill,Placed,ZTIVNWNO
2025-01-02,16:40,Newcastle,Impeach,108,17,100,0,single,sportingbet,Placed,XIMLOOQK
2025-01-01,15:34,Newcastle,Secret Guest,77,8,118,0,single,geoffbanks,Placed,UNPHVZGL
2025-01-01,15:10,Fakenham,For Gina,29,8,103,0,single,livescorebet,Placed,FCUFTTHW
2025-01-02,13:52,Newcastle,Jujubella,123,7,97,1,lucky15,williamhill,Placed,QAMPPRVJ
2025-01-01,11:45,Fakenham,Crac De Megaudais,69,7,104,1,lucky15,betfred,Placed,NRCBKMIY
2025-01-01,12:50,Fakenham,Tarbat Ness,132,9.5,99,0,lucky15,betgoodwin,Placed,CRIBIWUE
2025-01-01,16:40,Newcastle,Profit Street,341,6.5,99,0,trixie,williamhill,Placed,ZTIVNWNO
2025-01-01,11:45,Fakenham,Star Legend,115,4,103,0,trixie,betfred,Placed,SMNDCJUG
2025-01-02,12:55,Huntingdon,Jhabite En France,183,6.5,102,1,lucky15,geoffbanks,Placed,HVHMSEGQ
2025-01-01,12:50,Fakenham,Tarbat Ness,135,9.5,99,0,lucky15,williamhill,Placed,XVKWWYWM
2025-01-01,13:30,Cheltenham,Bowtogreatness,36,9,100,0,patent,888sport,Placed,FEYKZJMT
2025-01-01,12:50,Fakenham,Tarbat Ness,135,9.5,99,0,lucky15,williamhill,Placed,NRSYKMVX
2025-01-01,14:30,Catterick,Ensel Du Perche,38,9.5,95,1,lucky15,williamhill,Placed,CXLAAFEF
2025-01-01,12:30,Tramore,Rockbrook,74,5,115,1,double,williamhill,Placed,LGFUNRHS
2025-01-01,15:10,Fakenham,For Gina,29,8,103,0,single,williamhill,Placed,HSTOOHIY
2025-01-01,16:40,Newcastle,Profit Street,31,7.5,99,0,lucky15,betfred,Placed,JSSJBMER
2025-01-01,13:04,Southwell,Russian Ruler,89,13,100,0,single,bwin,Placed,DFQHTWQN
2025-01-02,14:00,Huntingdon,Silver Thorn,93,7,103,NR,single,888sport,Placed,HPZKIMMK
2025-01-01,16:40,Newcastle,Dicko The Legend,57,10,100,0,lucky15,bwin,Placed,DVTRSYAG
2025-01-02,17:10,Newcastle,Rodborough,932,23,113,0,single,sportingbet,Placed,YCYDLXOR
2025-01-01,14:00,Fakenham,Brother Boris,41,6.5,105,0,patent,888sport,Placed,RXLMIMLX
2025-01-01,13:55,Catterick,How About No,46,4.5,108,1,trixie,williamhill,Placed,AAPLTRHR
2025-01-01,15:10,Fakenham,For Gina,29,8,103,0,single,williamhill,Placed,BNAKHVUM
2025-01-02,14:50,Ayr,Step Above,140,10,95,0,lucky15,williamhill,Placed,DVBEXKCF
2025-01-01,16:40,Newcastle,Profit Street,31,7.5,99,0,lucky15,betfred,Placed,DHMUGYGZ
2025-01-01,13:45,Musselburgh,Bold Light,52,5.5,102,1,single,boylesports,Placed,FUFKCGNH
2025-01-01,15:15,Cheltenham,Gowel Road,2126,10,100,0,trixie,williamhill,Placed,JFKHMJRR
2025-01-01,15:10,Fakenham,Morfee,69,11,100,0,single,sportingbet,Placed,CQRQFQEB
2025-01-02,14:50,Ayr,Step Above,48,10,95,0,lucky15,geoffbanks,Placed,YNWTJGTN
2025-01-02,18:10,Newcastle,Martins Brig,47,7,95,0,lucky15,geoffbanks,Placed,NWEJHDVT
2025-01-01,14:40,Cheltenham,Catch Him Derry,62,6.5,96,0,lucky15,bwin,Placed,EJKKLFDG
2025-01-01,16:40,Newcastle,Profit Street,341,6.5,99,0,trixie,williamhill,Placed,AAPLTRHR
